기준일자,통화명,국가명,매매기준율,송금_보내실때,송금_받으실때
20260213,USD,미국,1446.8,1460.9,1432.7
20260213,EUR,유럽연합,1716.85,1734.01,1699.69
20260213,JPY,일본,944.26,953.51,935.01
20260213,CNY,중국,209.56,211.65,207.47
20260213,HKD,홍콩,185.08,186.93,183.23
20260213,TWD,대만,46.04,46.54,45.54
20260213,GBP,영국,1969.24,1988.93,1949.55
20260213,OMR,오만,3758.12,3803.21,3713.03
20260213,CAD,캐나다,1062.22,1072.84,1051.6
20260213,CHF,스위스,1882.63,1901.45,1863.81
20260213,SEK,스웨덴,161.73,163.34,160.12
20260213,AUD,호주,1021.15,1031.36,1010.94
20260213,NZD,뉴질랜드,872.06,880.78,863.34
20260213,CZK,체코,70.75,71.52,69.98
20260213,CLP,칠레,1.68,1.7,1.66
20260213,TRY,튀르키예,33.08,33.44,32.72
20260213,MNT,몽골,0.4,0.4,0.4
20260213,ILS,이스라엘,468.55,474.17,462.93
20260213,DKK,덴마크,229.81,232.1,227.52
20260213,NOK,노르웨이,151.76,153.27,150.25
20260213,SAR,사우디아라비아,385.79,389.64,381.94
20260213,KWD,쿠웨이트,4728.1,4775.38,4680.82
20260213,BHD,바레인,3837.46,3875.83,3799.09
20260213,AED,아랍에미리트,393.9,397.83,389.97
20260213,JOD,요르단,2040.62,2065.1,2016.14
20260213,EGP,이집트,30.88,31.25,30.51
20260213,THB,태국,46.57,47.03,46.11
20260213,SGD,싱가포르,1145.12,1156.57,1133.67
20260213,MYR,말레이시아,370.26,373.96,366.56
20260213,IDR,인도네시아,8.61,8.69,8.53
20260213,QAR,카타르,396.98,401.74,392.22
20260213,KZT,카자흐스탄,2.92,2.95,2.89
20260213,BND,브루나이,1145.12,1158.86,1131.38
20260213,INR,인도,15.97,16.15,15.79
20260213,PKR,파키스탄,5.17,5.23,5.11
20260213,BDT,방글라데시,11.83,11.97,11.69
20260213,PHP,필리핀,25.01,25.26,24.76
20260213,MXN,멕시코,84.02,84.86,83.18
20260213,BRL,브라질,277.27,280.59,273.95
20260213,VND,베트남,5.59,5.64,5.54
20260213,ZAR,남아프리카 공화국,90.35,91.43,89.27
20260213,RUB,러시아,18.78,19.43,18.13
20260213,HUF,헝가리,4.53,4.57,4.49
20260213,PLN,폴란드,407.47,411.95,402.99
20260213,LKR,스리랑카,4.68,4.73,4.63
20260213,DZD,알제리,11.16,11.29,11.03
20260213,KES,케냐,11.22,11.35,11.09
20260213,COP,콜롬비아,0.39,0.39,0.39
20260213,TZS,탄자니아,0.56,0.56,0.56
20260213,NPR,네팔,9.98,10.09,9.87
20260213,RON,루마니아,337.01,340.71,333.31
20260213,LYD,리비아,229.51,232.26,226.76
20260213,MOP,마카오,179.62,181.77,177.47
20260213,MMK,미얀마,0.69,0.69,0.69
20260213,ETB,에티오피아,9.3,9.41,9.19
20260213,UZS,우즈베키스탄,0.12,0.12,0.12
20260213,KHR,캄보디아,0.36,0.36,0.36
20260213,FJD,피지,659.52,667.43,651.61
